Campaign,Month,Day of the Week,Date,City,Channel,Device,Ad,Impressions,CTR,Clicks,Daily Average CPC,"Spend, GBP",Conversions,"Total conversion value, GBP",Likes (Reactions),Shares,Comments
Spring ,Mar,Wed,01 March 2023,Birmingham,Facebook,Desktop,Collection,1110.80,1.9%,21,1.39,28.60,1,51.84,45,4,3
Spring ,Mar,Thu,02 March 2023,Birmingham,Facebook,Desktop,Collection,1296.60,1.1%,14,0.72,10.33,2,40.32,14,17,11
Spring ,Mar,Fri,03 March 2023,Birmingham,Facebook,Desktop,Collection,1264.40,1.3%,17,0.38,6.33,4,53.76,24,1,8
Spring ,Mar,Sat,04 March 2023,Birmingham,Facebook,Desktop,Collection,837.80,1.6%,13,0.58,7.66,3,25.92,59,10,6
Spring ,Mar,Sun,05 March 2023,Birmingham,Facebook,Desktop,Collection,1599.00,1.4%,23,0.83,19.07,2,108.19,44,17,2
Spring ,Mar,Mon,06 March 2023,Birmingham,Facebook,Desktop,Collection,893.60,1.9%,17,0.31,5.33,4,20.16,57,3,3
Spring ,Mar,Tue,07 March 2023,Birmingham,Facebook,Desktop,Collection,1540.80,1.5%,23,1.53,34.64,0,14.40,44,0,3
Spring ,Mar,Wed,08 March 2023,Birmingham,Facebook,Desktop,Collection,994.80,1.4%,14,0.30,4.28,0,23.04,9,9,6
Spring ,Mar,Thu,09 March 2023,Birmingham,Facebook,Desktop,Collection,1336.60,1.2%,16,0.17,2.81,2,13.44,33,12,0
Spring ,Mar,Fri,10 March 2023,Birmingham,Facebook,Desktop,Collection,1001.80,1.4%,14,0.53,7.15,4,0.00,9,17,0
Spring ,Mar,Sat,11 March 2023,Birmingham,Facebook,Desktop,Collection,1141.20,1.2%,13,0.89,11.72,4,58.46,37,4,9
Spring ,Mar,Sun,12 March 2023,Birmingham,Facebook,Desktop,Collection,1304.20,1.5%,19,1.16,22.57,4,21.12,29,6,11
Spring ,Mar,Mon,13 March 2023,Birmingham,Facebook,Desktop,Collection,878.40,1.0%,9,0.29,2.63,5,162.62,20,2,9
Spring ,Mar,Tue,14 March 2023,Birmingham,Facebook,Desktop,Collection,1211.80,1.3%,16,1.35,21.85,5,129.70,39,13,6
Spring ,Mar,Wed,15 March 2023,Birmingham,Facebook,Desktop,Collection,962.20,1.5%,15,0.38,5.59,6,115.58,9,6,2
Spring ,Mar,Thu,16 March 2023,Birmingham,Facebook,Desktop,Collection,1254.00,1.9%,24,0.78,18.63,2,21.12,29,17,8
Spring ,Mar,Fri,17 March 2023,Birmingham,Facebook,Desktop,Collection,1261.40,1.6%,21,0.25,5.23,2,68.54,43,4,3
Spring ,Mar,Sat,18 March 2023,Birmingham,Facebook,Desktop,Collection,1591.40,1.7%,27,1.07,29.10,1,24.96,36,3,6
Spring ,Mar,Sun,19 March 2023,Birmingham,Facebook,Desktop,Collection,823.80,1.3%,11,1.18,12.78,1,61.82,16,7,3
Spring ,Mar,Mon,20 March 2023,Birmingham,Facebook,Desktop,Collection,1318.40,1.2%,16,0.98,15.59,3,26.88,22,17,3
Spring ,Mar,Tue,21 March 2023,Birmingham,Facebook,Desktop,Collection,1669.60,1.2%,20,0.33,6.74,5,15.36,20,18,12
Spring ,Mar,Wed,22 March 2023,Birmingham,Facebook,Desktop,Collection,1417.00,1.8%,25,1.39,34.90,3,23.04,28,17,11
