source_dataset,campaign,channel,device,ad_type,age,gender,city,campaign_numeric_id,ad_numeric_id,interest,month,weekday,ctr_prior,cvr_prior,paid_performance_score,cpm,impressions,spend,clicks,conversions,ctr,cvr,cpc,cpa
onyx_marketing_campaign,Fall,Pinterest,Mobile,Discount,unknown,unknown,Manchester,0.0,0.0,0.0,10.0,5.0,0.0,0.0,45.2166525625595,6.93121693121693,1701.0,11.79,19,2,0.011169900058788948,0.10526315789473684,0.6205263157894736,5.895
onyx_marketing_campaign,Spring,Facebook,Desktop,Collection,unknown,unknown,Birmingham,0.0,0.0,0.0,3.0,4.0,0.0,0.0,56.5464196410822,10.806066563684876,1424.2,15.39,23,3,0.01614941721668305,0.13043478260869565,0.6691304347826087,5.13
onyx_marketing_campaign,Spring,Facebook,Mobile,Collection,unknown,unknown,London,0.0,0.0,0.0,6.0,7.0,0.0,0.0,44.883142570319606,2.871072589382449,2215.2,6.36,18,2,0.008125677139761648,0.1111111111111111,0.35333333333333333,3.18
onyx_marketing_campaign,Spring,Facebook,Mobile,Collection,unknown,unknown,London,0.0,0.0,0.0,7.0,7.0,0.0,0.0,66.88600893120335,2.7922561429635144,2417.4,6.75,32,6,0.013237362455530735,0.1875,0.2109375,1.125
onyx_marketing_campaign,Spring,Facebook,Desktop,Discount,unknown,unknown,Birmingham,0.0,0.0,0.0,3.0,7.0,0.0,0.0,28.461141702410863,16.286704358927594,1096.6,17.86,13,1,0.011854824001459057,0.07692307692307693,1.3738461538461537,17.86
onyx_marketing_campaign,Spring,Pinterest,Desktop,Collection,unknown,unknown,London,0.0,0.0,0.0,8.0,2.0,0.0,0.0,52.88586841780328,6.475787855495773,1040.8,6.74,14,1,0.01345119139123751,0.07142857142857142,0.48142857142857143,6.74
onyx_marketing_campaign,Spring,Instagram,Desktop,Discount,unknown,unknown,Birmingham,0.0,0.0,0.0,8.0,4.0,0.0,0.0,35.34911513425549,6.896551724137931,8.7,0.06,0,2,0.0,,,0.03
onyx_marketing_campaign,Spring,Facebook,Mobile,Collection,unknown,unknown,London,0.0,0.0,0.0,8.0,5.0,0.0,0.0,47.63108894177455,8.435548617305978,1793.6,15.13,20,4,0.011150758251561107,0.2,0.7565000000000001,3.7825
onyx_marketing_campaign,Spring,Facebook,Desktop,Discount,unknown,unknown,Birmingham,0.0,0.0,0.0,3.0,4.0,0.0,0.0,57.3060525574272,12.170860152135752,683.6,8.32,11,2,0.01609128145114102,0.18181818181818182,0.7563636363636363,4.16
onyx_marketing_campaign,Spring,Facebook,Desktop,Discount,unknown,unknown,London,0.0,0.0,0.0,7.0,6.0,0.0,0.0,47.594459643701676,16.418149751483085,1247.4,20.48,15,9,0.012025012025012024,0.6,1.3653333333333333,2.2755555555555556
onyx_marketing_campaign,Spring,Instagram,Desktop,Collection,unknown,unknown,Birmingham,0.0,0.0,0.0,3.0,1.0,0.0,0.0,63.63894046647616,13.42900589241589,1052.2,14.13,22,4,0.02090857251473104,0.18181818181818182,0.6422727272727273,3.5325
onyx_marketing_campaign,Spring,Instagram,Mobile,Discount,unknown,unknown,London,0.0,0.0,0.0,3.0,7.0,0.0,0.0,36.908531587895574,18.194686411149828,1836.8,33.42,24,4,0.013066202090592335,0.16666666666666666,1.3925,8.355
facebook_kag_conversion,1178,unknown,unknown,unknown,45-49,M,unknown,1178.0,1121705.0,63.0,0.0,0.0,0.0,0.0,55.392051557465095,0.2945920302814674,126480.0,37.25999999,25,1,0.00019765970904490828,0.04,1.4903999996,37.25999999
onyx_marketing_campaign,Spring,Pinterest,Desktop,Discount,unknown,unknown,London,0.0,0.0,0.0,11.0,2.0,0.0,0.0,40.726648718332825,10.778529980657641,2068.0,22.29,19,7,0.00918762088974855,0.3684210526315789,1.173157894736842,3.184285714285714
onyx_marketing_campaign,Fall,Instagram,Mobile,Collection,unknown,unknown,London,0.0,0.0,0.0,9.0,1.0,0.0,0.0,47.505955156187746,10.770210057288352,3142.0,33.84,47,1,0.014958625079567155,0.02127659574468085,0.7200000000000001,33.84
onyx_marketing_campaign,Spring,Pinterest,Desktop,Discount,unknown,unknown,London,0.0,0.0,0.0,5.0,1.0,0.0,0.0,53.452903724200816,8.495145631067963,1359.6,11.55,14,7,0.010297146219476317,0.5,0.8250000000000001,1.6500000000000001
